#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262360721720000,5.84955,-0.0288982,1.76681,0.999846,-0.0174924,-0.00167717,0.000255465,0.973209,-0.00402322,0.00317513,0.00478835,0.00313872,0.000288841,-1.64188,0.022979,0.132734
1680262360835323000,5.94365,-0.02948,1.76721,0.999848,-0.0173401,-0.00153284,0.000275053,0.735117,-0.00501255,0.000723998,6.3258e-05,0.00180892,0.0009603,-2.87513,-0.0249543,-0.195756
1680262360935287300,6.01017,-0.0300535,1.76764,0.999848,-0.0173448,-0.00173664,0.000414438,0.650892,-0.00524192,0.00563962,-0.000419455,-0.0100465,-1.33405e-05,1.33347,0.0210715,0.102681
1680262361051872500,6.10316,-0.027396,1.76854,0.99984,-0.0173786,-0.00248926,0.00341052,0.994885,0.0744758,0.00848064,-0.00092452,-0.0182493,0.140259,4.36541,1.30523,-0.108722
1680262361156236900,6.23508,-0.0103816,1.76949,0.99967,-0.0174953,-0.00338016,0.0185276,1.40149,0.259775,0.00662958,-0.00215102,-0.0209827,0.371948,2.9694,1.8392,0.00145359
1680262361270755800,6.41839,0.0119893,1.7708,0.999309,-0.0175846,-0.00463655,0.032409,1.66054,0.112056,0.0153867,-0.00160262,-0.029325,0.0365115,0.203479,-1.10389,0.174816
1680262361379439200,6.59453,0.0228371,1.77235,0.999295,-0.017552,-0.00603714,0.0326472,1.58897,0.0969642,0.014444,-0.000694647,-0.0255019,-8.85937e-05,-1.1429,-0.0793118,0.0343633
1680262361487342000,6.75688,0.0327038,1.77376,0.999288,-0.0174226,-0.0072746,0.0326647,1.43537,0.0888183,0.011291,0.00473823,-0.0194352,4.77663e-05,-1.58441,-0.07378,-0.0403756
1680262361588143000,6.89128,0.040871,1.77473,0.999286,-0.017107,-0.00812831,0.0326854,1.272,0.079261,0.00941273,0.00602695,-0.0154076,8.42987e-05,-1.63069,-0.0995233,-0.0495164
1680262361704335400,7.02755,0.0491284,1.776,0.999282,-0.0169801,-0.00869214,0.0327237,1.08978,0.0661004,0.0131517,0.00160459,-0.00078564,0.000367237,-1.48856,-0.0681721,0.0517583
1680262361810577300,7.12987,0.055267,1.77758,0.999286,-0.0167965,-0.00852196,0.0327375,0.94668,0.0582663,0.0146669,0.00308218,0.00295183,0.000175879,-0.926262,-0.0561227,0.0345908
1680262361919741700,7.22823,0.0611338,1.77924,0.999292,-0.0165907,-0.00825151,0.032749,0.805017,0.0489021,0.0177389,0.00522608,0.00606915,0.000376632,-1.68292,-0.143551,0.632716
1680262362027833200,7.30879,0.0658897,1.78057,0.999296,-0.0164121,-0.00803551,0.0327599,0.687514,0.0413882,0.00927269,0.0029411,0.00328263,0.000228003,-0.912574,-0.0480845,-0.91142
1680262362137618200,7.37392,0.0696151,1.78155,0.999297,-0.0162768,-0.00787006,0.0328523,0.472605,0.0261888,0.00722199,0.0016784,0.00192946,0.00160492,-1.77665,-0.139514,-0.0212645
